"gene_symbol","present_in_gpl14951_symbol_or_ilmn_gene","intentionally_modernized"
"7A5",TRUE,FALSE
"A1BG",TRUE,FALSE
"A1CF",TRUE,FALSE
"A26C3",TRUE,FALSE
"A2BP1",TRUE,FALSE
"A2LD1",TRUE,FALSE
"A2M",TRUE,FALSE
"A2ML1",TRUE,FALSE
"A3GALT2",TRUE,FALSE
"A4GALT",TRUE,FALSE
"A4GNT",TRUE,FALSE
"AAA1",TRUE,FALSE
"AAAS",TRUE,FALSE
"AACS",TRUE,FALSE
"AADAC",TRUE,FALSE
"AADACL1",TRUE,FALSE
"AADACL2",TRUE,FALSE
"AADACL4",TRUE,FALSE
"AADAT",TRUE,FALSE
"AAGAB",TRUE,FALSE
"AAK1",TRUE,FALSE
"AAMP",TRUE,FALSE
"AANAT",TRUE,FALSE
"AARS",TRUE,FALSE
"AARS2",TRUE,FALSE
"AARSD1",TRUE,FALSE
"AASDH",TRUE,FALSE
"AASDHPPT",TRUE,FALSE
"AASS",TRUE,FALSE
"AATF",TRUE,FALSE
"AATK",TRUE,FALSE
"ABAT",TRUE,FALSE
"ABCA1",TRUE,FALSE
"ABCA10",TRUE,FALSE
"ABCA11",TRUE,FALSE
"ABCA12",TRUE,FALSE
"ABCA13",TRUE,FALSE
"ABCA2",TRUE,FALSE
"ABCA3",TRUE,FALSE
"ABCA4",TRUE,FALSE
"ABCA5",TRUE,FALSE
"ABCA6",TRUE,FALSE
"ABCA7",TRUE,FALSE
"ABCA8",TRUE,FALSE
"ABCA9",TRUE,FALSE
"ABCB1",TRUE,FALSE
"ABCB10",TRUE,FALSE
"ABCB11",TRUE,FALSE
"ABCB4",TRUE,FALSE
"ABCB5",TRUE,FALSE
"ABCB6",TRUE,FALSE
"ABCB7",TRUE,FALSE
"ABCB8",TRUE,FALSE
"ABCB9",TRUE,FALSE
"ABCC1",TRUE,FALSE
"ABCC10",TRUE,FALSE
"ABCC11",TRUE,FALSE
"ABCC12",TRUE,FALSE
"ABCC13",TRUE,FALSE
"ABCC2",TRUE,FALSE
"ABCC3",TRUE,FALSE
"ABCC4",TRUE,FALSE
"ABCC5",TRUE,FALSE
"ABCC6",TRUE,FALSE
"ABCC6P1",TRUE,FALSE
"ABCC6P2",TRUE,FALSE
"ABCC8",TRUE,FALSE
"ABCC9",TRUE,FALSE
"ABCD1",TRUE,FALSE
"ABCD2",TRUE,FALSE
"ABCD3",TRUE,FALSE
"ABCD4",TRUE,FALSE
"ABCE1",TRUE,FALSE
"ABCF1",TRUE,FALSE
"ABCF2",TRUE,FALSE
"ABCF3",TRUE,FALSE
"ABCG1",TRUE,FALSE
"ABCG2",TRUE,FALSE
"ABCG4",TRUE,FALSE
"ABCG5",TRUE,FALSE
"ABCG8",TRUE,FALSE
"ABHD1",TRUE,FALSE
"ABHD10",TRUE,FALSE
"ABHD11",TRUE,FALSE
"ABHD12",TRUE,FALSE
"ABHD12B",TRUE,FALSE
"ABHD13",TRUE,FALSE
"ABHD14A",TRUE,FALSE
"ABHD14B",TRUE,FALSE
"ABHD15",TRUE,FALSE
"ABHD2",TRUE,FALSE
"ABHD3",TRUE,FALSE
"ABHD4",TRUE,FALSE
"ABHD5",TRUE,FALSE
"ABHD6",TRUE,FALSE
"ABHD7",TRUE,FALSE
"ABHD8",TRUE,FALSE
"ABHD9",TRUE,FALSE
"ABI1",TRUE,FALSE
"ABI2",TRUE,FALSE
"ABI3",TRUE,FALSE
"ABI3BP",TRUE,FALSE
"ABL1",TRUE,FALSE
"ABL2",TRUE,FALSE
