"gene_symbol","present_in_gpl14951_symbol_or_ilmn_gene"
"7A5",TRUE
"A1BG",TRUE
"A1CF",TRUE
"A26C3",TRUE
"A2BP1",TRUE
"A2LD1",TRUE
"A2M",TRUE
"A2ML1",TRUE
"A3GALT2",TRUE
"A4GALT",TRUE
"A4GNT",TRUE
"AAA1",TRUE
"AAAS",TRUE
"AACS",TRUE
"AADAC",TRUE
"AADACL1",TRUE
"AADACL2",TRUE
"AADACL4",TRUE
"AADAT",TRUE
"AAGAB",TRUE
"AAK1",TRUE
"AAMP",TRUE
"AANAT",TRUE
"AARS",TRUE
"AARS2",TRUE
"AARSD1",TRUE
"AASDH",TRUE
"AASDHPPT",TRUE
"AASS",TRUE
"AATF",TRUE
"AATK",TRUE
"ABAT",TRUE
"ABCA1",TRUE
"ABCA10",TRUE
"ABCA11",TRUE
"ABCA12",TRUE
"ABCA13",TRUE
"ABCA2",TRUE
"ABCA3",TRUE
"ABCA4",TRUE
"ABCA5",TRUE
"ABCA6",TRUE
"ABCA7",TRUE
"ABCA8",TRUE
"ABCA9",TRUE
"ABCB1",TRUE
"ABCB10",TRUE
"ABCB11",TRUE
"ABCB4",TRUE
"ABCB5",TRUE
"ABCB6",TRUE
"ABCB7",TRUE
"ABCB8",TRUE
"ABCB9",TRUE
"ABCC1",TRUE
"ABCC10",TRUE
"ABCC11",TRUE
"ABCC12",TRUE
"ABCC13",TRUE
"ABCC2",TRUE
"ABCC3",TRUE
"ABCC4",TRUE
"ABCC5",TRUE
"ABCC6",TRUE
"ABCC6P1",TRUE
"ABCC6P2",TRUE
"ABCC8",TRUE
"ABCC9",TRUE
"ABCD1",TRUE
"ABCD2",TRUE
"ABCD3",TRUE
"ABCD4",TRUE
"ABCE1",TRUE
"ABCF1",TRUE
"ABCF2",TRUE
"ABCF3",TRUE
"ABCG1",TRUE
"ABCG2",TRUE
"ABCG4",TRUE
"ABCG5",TRUE
"ABCG8",TRUE
"ABHD1",TRUE
"ABHD10",TRUE
"ABHD11",TRUE
"ABHD12",TRUE
"ABHD12B",TRUE
"ABHD13",TRUE
"ABHD14A",TRUE
"ABHD14B",TRUE
"ABHD15",TRUE
"ABHD2",TRUE
"ABHD3",TRUE
"ABHD4",TRUE
"ABHD5",TRUE
"ABHD6",TRUE
"ABHD7",TRUE
"ABHD8",TRUE
"ABHD9",TRUE
"ABI1",TRUE
"ABI2",TRUE
"ABI3",TRUE
"ABI3BP",TRUE
"ABL1",TRUE
"ABL2",TRUE
"ABLIM1",TRUE
